id,target,description_set,tag
0,指甲,"脚,手,小,透明,硬,病菌,保护,方形,轻",1
1,香菜,"汽车,客人,火锅,厨师,超市,过敏,嘴,洗,绿色,餐厅,轻,烧烤,点菜,煮,冰箱,熟,家庭主妇",1
2,大衣,"滑,商场,烘干机,秋天,冬天,春天,防止,衣柜,冷",1
3,康复训练,"重,护士,大",1
4,脸,"油,口罩,血管,柔软,红色,汗水,肉色,模特,护工",1
5,皮鞋,"员工,白色,上班,船,小,棕色,穿戴,脚,经理,爸爸,吃饭,白领,开会,大,售货员,光滑,脱下",1
6,火车,"金属,玻璃,白色,睡觉,坚硬,旅行,绿色,大",1
7,果汁,"冷,热,嘴,厨师,保姆,糖尿病,清新,水果,流动,小",1
8,平板电脑,"女儿,耳机,白色,烫,有电,工人,看,玩耍,轻,上网,打开,记录,触摸,小,学习",1
9,服务员,"经理,客人,耐心,酒店,保安,商场,中年",1
10,喝,"喝,杯子,餐厅,晚上,快,吃,早晨,茶,嘴,酒吧,酒",1
11,洗发露,"锻炼,头,香,轻,衣服,洗,浴室,家人,揉搓,盆,晚上,涂抹,售货员,重",1
12,书店,"读,方形,图书馆,学习,纸,安静,宽敞,打字,咖啡",1
13,肩,"暖,学校",1
14,康复训练,"护士,暖,重,大,医生,老人",1
15,拿,"慢,轻,收回",1
16,客厅,"沙发,倒出,汗水,聊天,陶瓷,轮椅,凉爽,电视,方形,热,家,休息,盆栽,鞋子,伞,电视机,家人",1
17,饼,"嘴,餐厅",1
18,虫,"吃,飞,白色,条状,生病,咬,黑色,小",1
19,被子,"白色,香,方形,豆腐",1
20,后退,"慢,轻,袜子,鞋子,快,走",1
21,空调,"祖母,冷,手,有电,大,餐厅,冬天,插头,舒服,室友,教室,祖父,关闭,塑料,火车,正常,同学",1
22,手机,"故障,嘴,销售员,办公,飞机,彩色,点心,听",1
23,衬衣,"穿戴,香水,牛仔,制服,脱下,家,身体,烘干机,洗衣机",1
24,妻子,"上衣,中年,袜子,裙子,结婚,床,开朗,直率,菜,手机,丝袜",1
25,洋葱,"小贩,农民,手",1
26,蛋糕,"块状,甜品,盘子,烤箱,重,烤,吃,甜,暖,牛奶,柱状,聚会,黄色,大,营养,叉子,面粉",1
27,耳机,"塑料,办公室,歌手,黑色,金属,电脑,汽车,轻,耳朵,轻松,冷,小",1
28,饼干,"干涩,面粉,烤箱,嘴,方形,甜,客厅,轻,黄色,小麦,吃,零食,甜品,小,教室,烤,冷",1
29,上午,"牛奶,吃饭,开会,鸡蛋,家人,毛巾,洗漱,员工,牙刷,农民,爸爸,上班,早餐,妈妈",1
30,帽子,"洗,出门,穿戴,祖母,毛线,弟弟,遮阳,黑色,布料,叔叔,户外,夏天,姐妹",1
31,门,"塑料,书房,手,汽车,火车,房间,坚硬,家庭主妇,卫生间,妈妈,休息,儿子,大,船",1
32,喝水,"少,嘴,老人,慢,锻炼,女儿,杯子,多,妈妈,整理,健康",1
33,下巴,"轻,吃,肉色,小",1
34,刀子,"手,医疗器械,木头,放,光滑,小,陶瓷,妈妈,中餐,凉,餐厅,水果,固体",1
35,血压仪,"测量,大,医疗器械,白色,医生,护士,高血压,金属,胳膊",1
36,姐妹,"乖巧,善良,锻炼,直率,家",1
37,叉子,"轻,灰色,黑色,金属,盘子,小,面条,塑料",1
38,口袋,"爸爸,妈妈,轻,大,白色,布料,祖父,空,祖母,衣服,满,黑色,阿姨,裤子,小,叔叔",1
39,樱桃,"光滑,黑色,拿,厨房,轻,吃,红色,厨师,保姆,沙拉,水壶,酸,营养,嘴",1
40,吹风机,"售货员,重,吹,头发,小,打开,家,金属,插头,厕所,模特",1
41,米饭,"饿,晚上,吃,甜,早晨,餐厅,主食,冷,煮,食堂,糖尿病,白色,筷子",1
42,叔叔,"粗暴,上班,善良,爸爸,成熟,打招呼,妈妈",1
43,牙膏,"衣服,去除,病菌,售货员,打开,舌头,流动,牙膏,嘴,挤出,柱状,手,广告,晚上,家人,浴室,牙齿",1
44,画,"设计师,漫画,认真",1
45,淤青,"衣服,紫色,受伤,孩子",1
46,夏季,"甜品,台风,春天,锻炼,休息,热,夏天,暴雨,衣服,空调",1
47,饼干,"黄色,零食,面粉",1
48,秒钟,"小,金属,锻炼,时间,固体,比赛,轻,柱状,运动场",1
49,白萝卜,"冬天,爸爸,祖父,祖母,热,嘴,食堂,烹饪,丰收,甜,商场,辣,吃饭,厨房,手,粗,凉",1
50,扇贝,"渔民,蒸,坚硬",1
51,广场,"跳舞,方形",1
52,售货员,"围裙,购买,商场,认真,中年,老人",1
53,起床,"早餐,早晨,儿子,家,妈妈,慢,床,中午,快",1
54,刷牙,"清新,约会,起床,快,整理,牙刷,酒店,家,轻松,手,开会,脸",1
55,电梯,"轮椅,手机,物业,小,卧室,邻居,担架,公司,同事,广告,灰色,方形,出门,室友,家,上楼,工人,按下",1
56,冬季,"过节,孩子,家人,空调",1
57,树干,"椅子,花园",1
58,同学,"书本,教授,活泼,辅导,懒散,爸爸,作业,学习,工人",1
59,腰,"小,身体,腰带,医生,体温,医院",1
60,柜子,"块状,整理,装修,酒店,手,木头,重,家,病菌,大,硬,虫子,关闭",1
61,视频,"老板,手机,眼睛,学生",1
62,黄瓜,"手,水果,多汁,熟,脆,小,厨师,切,午餐,蔬菜,煮,条状,筷子,家庭主妇,西餐,嘴",1
63,玉米,"脆,水果,购买,软,牛奶,成熟,服务员",1
64,内衣,"薄,棉,妇科,生病",1
65,手写板,"放,办公室,关闭,金属,方形",1
66,巧克力,"妈妈,客人,硬,糖,小,甜,饱腹,售货员,打开,牛奶,黑色,方形,脆,圆形,苦,服务员,球形",1
67,司机,"工人,交通,苦,亲戚,热心,家人,开车,车祸,孩子",1
