id,target,description_set,tag
0,裙子,"大,聊天,台风,暴雨,天气",0
1,枕头,"轻,打招呼,打招呼,家人,干净,头,中午",0
2,看书,"白领,香水,护工,椅子,跳舞,舞蹈,肉色,医院,长,手,工作,疼痛,康复",0
3,脸,"骨头,打招呼,高血压,女朋友,血管,棕色,油,美容,冷,白色,粉色,肉色,按摩,化妆品,洗",0
4,快递员,"商场,青年,拿,手机,中年,热情,购买,电动车",0
5,床,"商场,祖父,爸爸,红色,家,甜,凉,饭后,农民,消化,儿子",0
6,尝,"餐厅,骑车,厨师,外卖,热心,电动车,车祸,苦,员工",0
7,老师,"走,上班,物业,打扫,社区,热情,打招呼,出门,社交,回家,小区,上楼,朋友,孩子,善良,下楼,买菜",0
8,吐,"吃,纸尿裤,骨质疏松,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症",0
9,踢,"重,快,收回,腿",0
10,腰,"粥,手,厨师,木头,碗,小",0
11,蹲下,"暖,学校",0
12,蛋黄,"切,家庭主妇,医疗器械,骨质疏松,打招呼,打招呼,纸尿裤,高血压,高血压,家庭主妇,打招呼,工作单位,阿尔兹海默症,小,手,生,厨师,晚餐",0
13,中午,"午餐,床,妈妈,爸爸,汤,太阳,电视,家人,枕头,自行车,回家,吃饭,勺子,员工",0
14,休息,"护士,中医,医院,重,大,医生,康复,按摩,舒服,暖",0
15,手,"体温,女朋友,打招呼,拿",0
16,刷牙,"塑料,浴室,病菌,细,白色,孩子,新,牙齿,柔软,衣服,售货员,嘴,舌头,刷,小,轻,旧,晚上",0
17,点头,"社交,重,轻,快",0
18,点头,"重,暖,甜,烹饪,祖父,冬天,市场,厨房,绿色,吃,小贩,热",0
19,嘴巴,"吃饭,客人,甜,喝,同学,家人,液体,瓶子,冰,吸管,解渴,凉,吸,服务员,夏天",0
20,蚂蚁,"药店,护士,棕色,家人,圆形,黄色,护工",0
21,菠萝,"勤劳,妈妈,工作,结婚,怀孕",0
22,脸,"棕色,高血压,高血压,有电,打招呼,有电,家庭主妇,老人机,高血压,家庭主妇,阿尔兹海默症,阿尔兹海默症,按摩,化妆品,化妆",0
23,回家,"洗衣机,黑色,洗衣粉",0
24,看,"眼镜,家庭主妇,脑卒中,工作单位",0
25,路,"酒店,舌头,少,围裙,快,家,咬,饿,中毒,餐厅,吃,慢,康复,晚上",0
26,脸,"爸爸,妈妈,祖母,阿姨,洗澡,白色,黑色,镜子,头,女儿,漂亮,化妆,轻,小,头发",0
27,电梯,"儿子,比赛,跑步,船,祖父,运动员,爸爸,脱下,大",0
28,父亲,"唱歌,工作",0
29,叉子,"小,家庭主妇,水果,陶瓷,碗",0
30,敲,"小,办公室,吃",0
31,撕,"手,纸尿裤,阿尔兹海默症,家庭主妇,药,轻",0
32,保姆,"售货员,重,吹,头发,小,打开,家,金属,插头,厕所,模特",0
33,瘙痒,"医生,老人机,阿尔兹海默症,骨质疏松,阿尔兹海默症,高血压,阿尔兹海默症,医疗器械,阿尔兹海默症,阿尔兹海默症,阿尔兹海默症,家,晚上,同事,护士,病菌,粉末",0
34,回家,"爸爸,骑车,晚餐,走,妈妈,少,脚,快,祖父,开车,地铁,休息,慢,交通,自行车,汽车,家,下班",0
35,毛毯,"朋友,家庭主妇,打招呼,打招呼,女朋友,打招呼,有电,有电,纸尿裤,高血压",0
36,肩,"锻炼,轻,床,胳膊,用力,树",0
37,空调,"手,阿尔兹海默症,阿尔兹海默症,夏天,调节,火车,光滑,故障,正常,家,祖母",0
38,郊外,"肉色,肉",0
39,台风,"暴雨,女朋友,家庭主妇,阿尔兹海默症,医疗器械",0
40,刀子,"陶瓷,洗,爸爸,光滑",0
41,洗发露,"轻,家庭主妇,家庭主妇,毛巾,清新,挤出,大,重,浴室",0
42,老师,"营养,盆栽,鱼,骨质疏松,亲戚,生病,祖父,电视机,女,打点滴,按摩,书法",0
43,淤青,"测量,生病,孩子,护士,病人,打点滴,吃药,热,休息,秋天,住院,晚上,睡觉",0
44,酒,"朋友,搅拌,冷,举,吃饭,小,营养,辣,老师",0
45,康复训练,"嘴,晚餐,熟,勺子,筷子,市场,棕色,客人,烧烤,香,干,汽车,炒,小,大,热,叉子",0
46,进,"老人机,慈祥,生病,庆祝,照顾,鱼,休息,妈妈,按摩,亲戚",0
47,血糖仪,"盒子,方形",0
48,快递员,"司机,中年,电动车,手机,青年",0
49,手指,"拿,洗,蓝色,黄色,圆形",0
50,梨,"围裙,黑色,厨房,烹饪,光滑",0
51,平板电脑,"眼镜,远,认真,粗略",0
52,火龙果,"球形,骨质疏松,家庭主妇,阿尔兹海默症,阿尔兹海默症,老人机,阿尔兹海默症,阿尔兹海默症,高血压,老人机,有电,骨质疏松,有电",0
53,抬头,"黑色,祖父",0
54,胸罩,"穿戴,阿尔兹海默症,医疗器械,阿尔兹海默症,老人机,家庭主妇,高血压,软,胸部,支撑,上衣,脱下,朋友",0
55,学生,"餐厅,吃饭,火锅,甜,市场,小贩,厨房,白色,手,重,烹饪,成熟,祖父,冬天,硬,买菜,主妇,爸爸",0
56,胡萝卜,"热,医疗器械,纸尿裤,打招呼,阿尔兹海默症,家庭主妇,农民,吃饭,祖母,买菜,吃,爸爸,妈妈,烹饪,厨房,轻",0
57,馒头,"重,快,收回,腿",0
58,捡,"片状,冬天,白色,冷,电影,音乐,风湿病,天气",0
59,护工,"拍照,家,游戏",0
60,苹果,"吃,轻",0
61,雨天,"胳膊,商场,布料,身体,轻",0
62,休息,"腿,女朋友,高血压,家庭主妇,老人机,阿尔兹海默症,有电,阿尔兹海默症,阿尔兹海默症,医疗器械,医疗器械,医疗器械,老人机",0
63,手机,"故障,纸尿裤,高血压,脑卒中,阿尔兹海默症,医疗器械,老人机,听",0
64,学校,"骨头,汤",0
65,学生,"室内,司机",0
66,保姆,"围裙,医疗器械,食物",0
67,社工,"快,腰带,轻",0
68,咳嗽,"温柔,善良,热心,抠门,假期,中年,上班,妈妈,青年,打招呼,聊天,家,聚会,回家,女,怀孕,姐妹,结婚",0
69,胸罩,"花,轻,插头,重",0
70,工作,"办公室,阿尔兹海默症,制服,电脑,早晨",0
71,短裤,"按摩,医生,大,老人,康复,暖,中医,舒服,护士",0
