desc_id,description,freq_mentioned,targets
1,远,3,"看, 出门, 听"
2,认真,23,"看, 看, 看, 学习, 擦, 画, 剪, 看书, 看书, 上班, 上班, 穿衣服, 玩手机, 玩手机, 说话, 说话, 同学, 同学, 学生, 护工, 姐妹, 朋友, 父亲, 男孩, 阿姨, 婶婶, 售货员, 服务员, 维修工, 老师"
3,粗略,3,"看, 穿衣服, 穿鞋"
4,眼睛,21,"看, 发现, 睡觉, 午睡, 看书, 看电视, 视频, 玩手机, 墨镜, 药膏, 书店, 眼镜, 手写板, 药, 窗户, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑, 洋葱"
5,眼镜,7,"看, 学习, 眼睛, 外公, 外婆, 奶奶, 老人"
6,图书馆,4,"发现, 看书, 玩手机, 书店, 书店"
7,饭,12,"发现, 闻, 吞, 吃饭, 厨房, 牛肉, 猪肉, 中午, 家, 碗, 腹部, 妻子"
8,菜,7,"发现, 闻, 尝, 吃饭, 厨房, 碗, 妻子"
9,香水,3,"发现, 衬衣, 脖子"
10,科学家,8,"发现, 蚂蚁, 太阳, 星星, 晴天, 月亮, 雨, 雨天"
11,用力,11,"闻, 吸, 敲, 锻炼, 吞, 吹, 扶, 抓, 撕, 打, 摇"
12,臭,12,"闻, 牙齿, 洗手池, 鸡蛋, 老鼠, 菜市场, 袜子, 靴子, 脚, 马桶, 蟑螂, 鱼"
13,食物,24,"闻, 厨房, 牙齿, 蚂蚁, 手套, 牙刷, 牙膏, 被子, 冰箱, 微波炉, 微波炉, 茄子, 茄子, 菠菜, 菠菜, 蘑菇, 蘑菇, 西兰花, 西兰花, 豆角, 豆角, 青椒, 青椒, 青菜, 青菜, 香蕉, 黄瓜, 蛋黄, 蛋黄, 鸡肉, 鸡肉, 鸭肉, 鱼肉, 鱼肉, 保姆"
14,零食,7,"闻, 看电视, 平板电脑, 电视机, 笔记本电脑, 糖果, 饼干, 饼干"
15,早餐,7,"闻, 起床, 包子, 上午, 上午, 楼梯, 面包, 蛋黄"
16,中餐,11,"闻, 中午, 刀子, 香菜, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉"
17,晚餐,13,"闻, 回家, 玩手机, 说话, 酒, 香菜, 黄瓜, 羊肉, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉"
18,下午茶,7,"闻, 火龙果, 芒果, 苹果, 菠萝, 葡萄, 西瓜"
19,药,13,"闻, 抓, 撕, 去医院, 吃药, 药店, 开塞露, 开塞露, 蘑菇, 外公, 外婆, 奶奶, 爷爷, 护士"
20,碗,20,"闻, 包子, 面条, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 鸡蛋, 螃蟹, 中午, 勺子, 叉子, 煮锅, 筷子, 中药, 米饭, 洋葱, 生姜, 番茄"
21,盘子,21,"闻, 包子, 面条, 牛肉, 猪肉, 鸡蛋, 螃蟹, 勺子, 叉子, 蛋糕, 通心粉, 馒头, 香肠, 柠檬, 梨, 樱桃, 橙子, 洋葱, 牛油果, 番茄, 芒果"
22,鼻子,4,"闻, 口罩, 肥皂, 茶壶"
23,快,52,"吃, 吸, 敲, 学习, 咬, 吞, 喝, 嚼, 吹, 点头, 摇头, 低头, 抬头, 扶, 抱, 抓, 推, 拿, 撕, 捡, 拍, 写, 剪, 转身, 躺下, 睡觉, 蹲下, 弯腰, 后退, 进, 跑, 踢, 走, 吃饭, 工作, 看书, 上厕所, 打电话, 洗澡, 刷牙, 洗脸, 穿衣服, 穿鞋, 去医院, 回家, 玩手机, 说话, 起床, 喝水, 穿鞋, 去医院, 回家, 说话, 出租车, 蚂蚁, 分钟"
24,慢,39,"吃, 吸, 敲, 学习, 嚼, 吹, 摇头, 低头, 抬头, 扶, 抱, 抓, 推, 拿, 撕, 捡, 擦, 写, 剪, 转身, 睡觉, 后退, 进, 站, 走, 吃饭, 工作, 看书, 上厕所, 打电话, 洗澡, 去医院, 回家, 起床, 喝水, 穿鞋, 回家, 说话, 出租车, 蚂蚁"
25,多,9,"吃, 吸, 学习, 吃饭, 上厕所, 说话, 喝水, 吃药, 玩手机, 说话"
26,少,11,"吃, 吸, 学习, 吃饭, 上厕所, 喝水, 吃药, 去医院, 回家, 玩手机, 说话"
27,饿,7,"吃, 煮锅, 碗, 胃痛, 冰箱, 微波炉, 米饭"
